database_code	dt	approach
arwikinews	2005-09-26	min_ar_rev_dt
ilowiki	2005-10-07	least_rev
bugwiki	2005-10-24	least_rev
pihwiki	2005-10-24	least_rev
udmwiki	2005-10-24	min_rev_dt
idwikisource	2005-11-06	min_rev_dt
thwikinews	2005-12-12	min_rev_dt
iswikisource	2005-12-29	min_rev_dt
trwikisource	2006-01-05	min_rev_dt
nowikinews	2006-01-11	min_rev_dt
zhwikinews	2006-03-14	min_rev_dt
nrmwiki	2006-03-24	min_ar_rev_dt
lijwiki	2006-03-24	min_ar_rev_dt
nds_nlwiki	2006-03-24	least_rev
papwiki	2006-03-24	least_rev
map_bmswiki	2006-03-24	least_rev
xalwiki	2006-03-24	min_rev_dt
pdcwiki	2006-03-24	min_ar_rev_dt
vlswiki	2006-03-24	min_rev_dt
rmywiki	2006-03-24	least_rev
frpwiki	2006-03-24	min_rev_dt
bat_smgwiki	2006-03-24	min_ar_rev_dt
yiwikisource	2006-03-25	min_rev_dt
pmswiki	2006-03-26	min_rev_dt
thwikisource	2006-06-02	min_rev_dt
bgwikisource	2006-06-02	least_rev
bswikisource	2006-06-02	min_rev_dt
ltwikisource	2006-06-02	least_rev
zh_min_nanwikisource	2006-06-02	min_rev_dt
slwikisource	2006-06-02	min_rev_dt
fowikisource	2006-06-02	min_rev_dt
azwikisource	2006-06-02	min_rev_dt
htwikisource	2006-06-02	min_rev_dt
huwikisource	2006-06-02	min_rev_dt
angwikisource	2006-06-02	min_rev_dt
sdwikinews	2006-09-13	min_ar_rev_dt
novwiki	2006-09-30	site_creation_log
mznwiki	2006-09-30	site_creation_log
hsbwiki	2006-09-30	site_creation_log
emlwiki	2006-09-30	site_creation_log
diqwiki	2006-09-30	site_creation_log
cuwiki	2006-09-30	site_creation_log
cbk_zamwiki	2006-09-30	site_creation_log
cdowiki	2006-09-30	site_creation_log
barwiki	2006-09-30	site_creation_log
bpywiki	2006-09-30	site_creation_log
glkwiki	2006-09-30	leart_ar_rev
roa_tarawiki	2006-09-30	site_creation_log
wuuwiki	2006-09-30	site_creation_log
zeawiki	2006-09-30	site_creation_log
zh_classicalwiki	2006-09-30	site_creation_log
newwiki	2006-09-30	site_creation_log
lbewiki	2006-09-30	min_rev_dt
bxrwiki	2006-09-30	site_creation_log
pagwiki	2006-09-30	site_creation_log
tgwikibooks	2006-10-16	least_rev
bswikinews	2006-10-16	min_rev_dt
mkwikisource	2006-10-16	min_rev_dt
tawikinews	2006-12-01	min_rev_dt
bewiki	2007-03-27	site_creation_log
kabwiki	2007-05-06	site_creation_log
tawikisource	2007-05-08	site_creation_log
itwikiversity	2007-05-25	site_creation_log
hakwiki	2007-05-27	site_creation_log
bnwikisource	2007-09-25	site_creation_log
hsbwiktionary	2007-09-25	site_creation_log
bclwiki	2007-11-24	site_creation_log
brwikiquote	2007-11-24	site_creation_log
liwikiquote	2007-11-24	site_creation_log
hywikisource	2007-11-24	site_creation_log
fiwikinews	2007-11-24	site_creation_log
elwikiversity	2008-01-12	site_creation_log
stqwiki	2008-01-12	site_creation_log
crhwiki	2008-01-12	site_creation_log
dsbwiki	2008-01-12	site_creation_log
ptwikiversity	2008-05-26	site_creation_log
jawikiversity	2008-05-26	site_creation_log
cswikiversity	2008-05-26	site_creation_log
liwikisource	2008-05-26	site_creation_log
srnwiki	2008-05-26	site_creation_log
sahwiki	2008-05-26	site_creation_log
myvwiki	2008-05-26	site_creation_log
szlwiki	2008-05-26	site_creation_log
kaawiki	2008-05-26	site_creation_log
hifwiki	2008-05-26	site_creation_log
ganwiki	2008-05-26	site_creation_log
extwiki	2008-05-26	site_creation_log
huwikinews	2008-05-26	site_creation_log
cswikinews	2008-05-26	site_creation_log
mdfwiki	2008-05-26	site_creation_log
arzwiki	2008-11-24	site_creation_log
pntwiki	2009-03-05	site_creation_log
fiwikiversity	2009-04-06	site_creation_log
mhrwiki	2009-07-09	site_creation_log
trwikinews	2009-08-12	site_creation_log
acewiki	2009-08-12	site_creation_log
pnbwiki	2009-08-12	site_creation_log
ckbwiki	2009-08-12	site_creation_log
mwlwiki	2009-08-12	site_creation_log
ruwikiversity	2009-11-12	site_creation_log
pcdwiki	2009-12-24	site_creation_log
krcwiki	2010-03-19	site_creation_log
kowikinews	2010-08-20	mail_notification
frrwiki	2010-08-24	mail_notification
bjnwiki	2010-10-17	mail_notification
fawikinews	2010-10-17	mail_notification
koiwiki	2010-10-17	mail_notification
mrjwiki	2010-10-17	mail_notification
gagwiki	2010-11-14	mail_notification
vecwikisource	2010-11-14	mail_notification
brwikisource	2010-11-14	mail_notification
svwikiversity	2010-11-14	mail_notification
eowikinews	2010-11-14	mail_notification
pflwiki	2010-11-14	mail_notification
liwikibooks	2010-11-14	mail_notification
ruewiki	2011-01-23	mail_notification
sqwikinews	2011-03-20	mail_notification
kbdwiki	2011-03-20	mail_notification
sahwikisource	2011-03-20	mail_notification
sawikisource	2011-03-20	mail_notification
ltgwiki	2011-03-20	mail_notification
eowikisource	2011-03-20	mail_notification
elwikinews	2011-04-09	mail_notification
arwikiversity	2011-07-12	mail_notification
xmfwiki	2011-07-12	mail_notification
orwiktionary	2011-09-28	site_creation_log
nsowiki	2011-10-29	site_creation_log
vepwiki	2012-02-02	mail_notification
mrwikisource	2012-02-02	mail_notification
pnbwiktionary	2012-02-02	mail_notification
slwikiversity	2012-03-28	mail_notification
bewikisource	2012-03-28	mail_notification
lezwiki	2012-03-28	mail_notification
guwikisource	2012-03-28	mail_notification
wikidatawiki	2012-10-26	mail_notification
enwikivoyage	2012-11-06	mail_notification
dewikivoyage	2012-11-07	mail_notification
ruwikivoyage	2012-11-07	mail_notification
nlwikivoyage	2012-11-07	mail_notification
svwikivoyage	2012-11-07	mail_notification
frwikivoyage	2012-11-07	mail_notification
itwikivoyage	2012-11-07	mail_notification
ptwikivoyage	2013-01-03	git_db_creation
eswikivoyage	2013-01-03	git_db_creation
aswikisource	2013-01-03	git_db_creation
kowikiversity	2013-02-06	git_db_creation
minwiki	2013-02-06	git_db_creation
plwikivoyage	2013-02-06	git_db_creation
rowikivoyage	2013-02-06	git_db_creation
sawikiquote	2013-02-06	git_db_creation
hewikivoyage	2013-03-27	git_db_creation
ukwikivoyage	2013-03-27	git_db_creation
elwikivoyage	2013-05-16	git_db_creation
vecwiktionary	2013-05-16	git_db_creation
tyvwiki	2013-07-05	git_db_creation
tywiki	2013-08-11	git_db_creation
viwikivoyage	2013-08-11	git_db_creation
zhwikivoyage	2013-12-31	git_db_creation
fawikivoyage	2014-09-28	git_db_creation
orwikisource	2014-10-19	git_db_creation
maiwiki	2014-10-29	git_db_creation
gomwiki	2015-04-24	git_db_creation
lrcwiki	2015-06-10	git_db_creation
adywiki	2016-02-02	git_db_creation
jamwiki	2016-04-29	git_db_creation
tcywiki	2016-07-21	git_db_creation
olowiki	2016-09-26	git_db_creation
fiwikivoyage	2016-11-27	git_db_creation
dtywiki	2017-04-09	git_db_creation
pawikisource	2017-04-13	git_db_creation
atjwiki	2017-06-14	git_db_creation
kbpwiki	2017-06-22	git_db_creation
dinwiki	2017-06-29	git_db_creation
hiwikiversity	2017-07-31	git_db_creation
hiwikivoyage	2017-08-10	git_db_creation
hifwiktionary	2017-08-20	git_db_creation
hiwikiquote	2017-08-29	git_db_creation
azbwiki	2017-08-29	git_db_creation
lfnwiki	2017-12-26	git_db_creation
inhwiki	2018-01-07	git_db_creation
gorwiki	2018-03-07	git_db_creation
euwikisource	2018-03-13	git_db_creation
be_x_oldwiki	2018-04-27	git_db_creation
zh_yuewiki	2018-04-27	git_db_creation
pmswikisource	2018-05-18	git_db_creation
pswikivoyage	2018-06-04	git_db_creation
sahwikiquote	2018-06-04	git_db_creation
bnwikivoyage	2018-06-05	git_db_creation
satwiki	2018-06-28	git_db_creation
zhwikiversity	2018-07-14	git_db_creation
yuewiktionary	2018-09-28	git_db_creation
liwikinews	2018-09-28	git_db_creation
napwikisource	2018-12-11	git_db_creation
shnwiki	2019-02-07	git_db_creation
hiwikisource	2019-03-22	git_db_creation
hywwiki	2019-03-30	git_db_creation
nqowiki	2019-09-25	git_db_creation
banwiki	2019-10-08	git_db_creation
mnwwiki	2019-10-17	git_db_creation
szywiki	2019-11-05	git_db_creation
shywiktionary	2019-11-20	git_db_creation
gcrwiki	2019-11-20	git_db_creation
minwiktionary	2019-11-20	git_db_creation
gomwiktionary	2020-04-20	git_db_creation
awawiki	2020-05-01	git_db_creation
shnwiktionary	2020-05-18	git_db_creation
lijwikisource	2020-07-10	git_db_creation
arywiki	2020-07-12	git_db_creation
avkwiki	2020-07-15	git_db_creation
lldwiki	2020-08-02	git_db_creation
jawikivoyage	2020-08-27	git_db_creation
smnwiki	2020-10-18	git_db_creation
skrwiktionary	2020-11-25	git_db_creation
skrwiki	2020-11-25	git_db_creation
eowikivoyage	2020-12-07	git_db_creation
wawikisource	2020-12-07	git_db_creation
madwiki	2020-12-15	git_db_creation
bclwiktionary	2021-01-11	git_db_creation
niawiktionary	2021-01-11	git_db_creation
niawiki	2021-01-11	git_db_creation
diqwiktionary	2021-01-11	git_db_creation
trwikivoyage	2021-01-19	git_db_creation
mniwiktionary	2021-02-22	git_db_creation
mniwiki	2021-02-22	git_db_creation
altwiki	2021-02-22	git_db_creation
trvwiki	2021-03-15	git_db_creation
taywiki	2021-03-15	git_db_creation
mnwwiktionary	2021-03-16	git_db_creation
dagwiki	2021-06-30	git_db_creation
banwikisource	2021-06-30	git_db_creation
shiwiki	2021-06-30	git_db_creation
jvwikisource	2021-08-04	git_db_creation
amiwiki	2021-10-23	git_db_creation
lmowiktionary	2021-10-23	git_db_creation
pwnwiki	2021-10-23	git_db_creation
guwwiki	2022-03-17	git_db_creation
shnwikivoyage	2022-03-17	git_db_creation
kcgwiki	2022-05-12	git_db_creation
blkwiki	2022-07-19	git_db_creation
pcmwiki	2022-07-19	git_db_creation
guwwiktionary	2022-07-19	git_db_creation
bjnwiktionary	2022-07-19	git_db_creation
igwiktionary	2022-10-10	git_db_creation
bnwikiquote	2022-10-10	git_db_creation
igwikiquote	2022-10-10	git_db_creation
tlwikiquote	2022-10-10	git_db_creation
bclwikiquote	2022-10-10	git_db_creation
guwwikiquote	2023-01-04	git_db_creation
gorwiktionary	2023-01-04	git_db_creation
shnwikibooks	2023-01-04	git_db_creation
aswikiquote	2023-01-04	git_db_creation
gurwiki	2023-02-27	git_db_creation
gucwiki	2023-02-27	git_db_creation
anpwiki	2023-03-22	git_db_creation
ckbwiktionary	2023-03-29	git_db_creation
guwwikinews	2023-04-10	git_db_creation
fatwiki	2023-04-20	git_db_creation
kcgwiktionary	2023-04-20	git_db_creation
kbdwiktionary	2023-04-20	git_db_creation
